name,maker,work_title,series_name,character_name,genre,price,release_period,jan_code,official_url,image_url,source_checked_at
"モリゾーとキッコロ めじるしアクセサリー","バンダイ","","","","ガシャポン","300","2026年6月","4582769911538000","https://gashapon.jp/products/detail.php?jan_code=4582769911538000","","2026-07-22"
"ブルーイ カメラ型プロジェクター","タカラトミーアーツ","","","","ガチャ","400","2026年7月(7月20日週発売)","","https://www.takaratomy-arts.co.jp/items/item.html?n=Y900853","","2026-07-22"
"にっこりーノ 雨の日のぬいぐるみ","Qualia","","","","カプセルトイ","400","2026年4月","","https://www.qualia-45.jp/product/view/1905","","2026-07-22"
"るかっぷ ミニチュアコレクション 呪術廻戦","バンダイ","","","","ガシャポン","500","2026年6月","4535123846069000","https://gashapon.jp/products/detail.php?jan_code=4535123846069000","","2026-07-22"
"ポケモン とことこポッチャマ","タカラトミーアーツ","","","","ガチャ","400","2026年7月(7月6日週発売)","","https://www.takaratomy-arts.co.jp/items/item.html?n=Y094156","","2026-07-22"
"にっこりーノ 昆虫のぬいぐるみ2","Qualia","","","","カプセルトイ","400","2026年4月","","https://www.qualia-45.jp/product/view/1904","","2026-07-22"
"機動戦士ガンダム MOBILE SUIT ENSEMBLE 14","バンダイ","","","","ガシャポン","500","2026年6月","4549660488491000","https://gashapon.jp/products/detail.php?jan_code=4549660488491000","","2026-07-22"
"ミスター&ミセス・ポテトヘッド めじるしガチャマスコット","タカラトミーアーツ","","","","ガチャ","300","2026年7月(7月20日週発売)","","https://www.takaratomy-arts.co.jp/items/item.html?n=Y904196","","2026-07-22"
"にっこりーノ 植物のもこもこポーチ","Qualia","","","","カプセルトイ","400","2026年4月","","https://www.qualia-45.jp/product/view/1907","","2026-07-22"
"星のカービィ わくわくふぃぎゅあこれくしょん!","バンダイ","","","","ガシャポン","300","2026年6月","4549660488774000","https://gashapon.jp/products/detail.php?jan_code=4549660488774000","","2026-07-22"
"ミニオンズ Belloworld 世界の旅フィギュア2","タカラトミーアーツ","","","","ガチャ","400","2026年7月(7月13日週発売)","","https://www.takaratomy-arts.co.jp/items/item.html?n=Y901560","","2026-07-22"
"はにわとどぐう巾着","Qualia","","","","カプセルトイ","400","2026年4月","","https://www.qualia-45.jp/product/view/1889","","2026-07-22"
"魔法少女まどか☆マギカ めじるしアクセサリー","バンダイ","","","","ガシャポン","300","2026年6月","4582769836534000","https://gashapon.jp/products/detail.php?jan_code=4582769836534000","","2026-07-22"
"ミニオンズ フェイス型シリコンケース","タカラトミーアーツ","","","","ガチャ","400","2026年7月(7月20日週発売)","","https://www.takaratomy-arts.co.jp/items/item.html?n=Y902529","","2026-07-22"
"レインコート犬 マスコットフィギュア","Qualia","","","","カプセルトイ","300","2026年4月","","https://www.qualia-45.jp/product/view/1892","","2026-07-22"
"矢沢あい カプセルラバーマスコット","バンダイ","","","","ガシャポン","300","2026年6月","4582769916922000","https://gashapon.jp/products/detail.php?jan_code=4582769916922000","","2026-07-22"
"モンスターズ・インク もふもふポーシェット","タカラトミーアーツ","","","","ガチャ","500","2026年7月(7月13日週発売)","","https://www.takaratomy-arts.co.jp/items/item.html?n=Y908668","","2026-07-22"
"酔いスキー 長期熟成ver. マスコットフィギュア","Qualia","","","","カプセルトイ","400","2026年4月","","https://www.qualia-45.jp/product/view/1898","","2026-07-22"
"妖怪ウォッチ ミニチュアパッケージコレクション","バンダイ","","","","ガシャポン","400","2026年6月","4582769860621000","https://gashapon.jp/products/detail.php?jan_code=4582769860621000","","2026-07-22"
"映画 すみっコぐらし 空の王国とふたりのコ めじるしガチャマスコット","タカラトミーアーツ","","","","ガチャ","300","2026年7月(7月13日週発売)","","https://www.takaratomy-arts.co.jp/items/item.html?n=Y099762","","2026-07-22"
"オムカメライスのぬいぐるみ","Qualia","","","","カプセルトイ","400","2026年2月","","https://www.qualia-45.jp/product/view/1858","","2026-07-22"
"“ディズニーキャラクター” お星さまマスコットチャーム","バンダイ","","","","ガシャポン","400","2026年5月","4582769832352000","https://gashapon.jp/products/detail.php?jan_code=4582769832352000","","2026-07-22"
"夏目友人帳〜音劇の章 夏霞〜 アクリルスタンド","タカラトミーアーツ","","","","ガチャ","400","2026年7月(7月20日週発売)","","https://www.takaratomy-arts.co.jp/items/item.html?n=Y909115","","2026-07-22"
"クリスタルレオパ マスコットフィギュア","Qualia","","","","カプセルトイ","300","2026年2月","","https://www.qualia-45.jp/product/view/1868","","2026-07-22"
"【フラットガシャポン】ズートピア2 クリアラバーコースター","バンダイ","","","","ガシャポン","400","2026年5月","4582769889349000","https://gashapon.jp/products/detail.php?jan_code=4582769889349000","","2026-07-22"
"都市伝説解体センター ギミックアクリルキーホルダー","タカラトミーアーツ","","","","ガチャ","400","2026年7月(7月6日週発売)","","https://www.takaratomy-arts.co.jp/items/item.html?n=Y907593","","2026-07-22"
"ちゅーまいと点心メイツ マスコットフィギュア","Qualia","","","","カプセルトイ","400","2026年2月","","https://www.qualia-45.jp/product/view/1859","","2026-07-22"
"【フラットガシャポン】ドラゴンボール クリアラバーコースター","バンダイ","","","","ガシャポン","400","2026年5月","4582769897764000","https://gashapon.jp/products/detail.php?jan_code=4582769897764000","","2026-07-22"
"富士ホーロー MOOMIN ミニコレクション2","タカラトミーアーツ","","","","ガチャ","400","2026年7月(7月13日週発売)","","https://www.takaratomy-arts.co.jp/items/item.html?n=Y905209","","2026-07-22"
"にっこりーノ まんまる刺繍クッションマスコット お弁当","Qualia","","","","カプセルトイ","400","2026年2月","","https://www.qualia-45.jp/product/view/1870","","2026-07-22"
"NANA CD風アクリルチャーム","バンダイ","","","","ガシャポン","300","2026年5月","4582769829727000","https://gashapon.jp/products/detail.php?jan_code=4582769829727000","","2026-07-22"
"Care BearsTM × ILLIT ピンズコレクション","タカラトミーアーツ","","","","ガチャ","400","2026年6月(6月29日週発売)","","https://www.takaratomy-arts.co.jp/items/item.html?n=Y904141","","2026-07-22"
"にっこりーノ ミニ純喫茶のぬいぐるみバッジ","Qualia","","","","カプセルトイ","400","2026年2月","","https://www.qualia-45.jp/product/view/1871","","2026-07-22"
"Pigeon ピジョンミニチャーム","バンダイ","","","","ガシャポン","300","2026年5月","4582769890000000","https://gashapon.jp/products/detail.php?jan_code=4582769890000000","","2026-07-22"
"JIGGY BOYS アクリルめじるしガチャマスコット","タカラトミーアーツ","","","","ガチャ","300","2026年6月(6月8日週発売)","","https://www.takaratomy-arts.co.jp/items/item.html?n=Y906848","","2026-07-22"
"にっこりーノ 漢方のぬいぐるみ","Qualia","","","","カプセルトイ","400","2026年2月","","https://www.qualia-45.jp/product/view/1872","","2026-07-22"
"Polly Pocket ミニチュアチャーム2","バンダイ","","","","ガシャポン","400","2026年5月","4582769891878000","https://gashapon.jp/products/detail.php?jan_code=4582769891878000","","2026-07-22"
"JOGUMAN もふもふポーシェット","タカラトミーアーツ","","","","ガチャ","400","2026年6月(6月15日週発売)","","https://www.takaratomy-arts.co.jp/items/item.html?n=Y904264","","2026-07-22"
"銭湯アーミー マスコットフィギュア 銭湯イエローver.","Qualia","","","","カプセルトイ","200","2026年2月","","https://www.qualia-45.jp/product/view/1865","","2026-07-22"
"アイカツ! めじるしアクセサリー","バンダイ","","","","ガシャポン","300","2026年5月","4582769911187000","https://gashapon.jp/products/detail.php?jan_code=4582769911187000","","2026-07-22"
"MOOMIN すやすやおやすみマスコット","タカラトミーアーツ","","","","ガチャ","300","2026年6月(6月15日週発売)","","https://www.takaratomy-arts.co.jp/items/item.html?n=Y906602","","2026-07-22"
"にっこりーノ おいしいタコさんウィンナーコレクション","Qualia","","","","カプセルトイ","400","2026年1月","","https://www.qualia-45.jp/product/view/1851","","2026-07-22"
"クレヨンしんちゃん×仮面ライダー コラボレーションフィギュアコレクション","バンダイ","","","","ガシャポン","500","2026年5月","4582769842337000","https://gashapon.jp/products/detail.php?jan_code=4582769842337000","","2026-07-22"
"Nobism のびズム -めじるしガチャマスコット-","タカラトミーアーツ","","","","ガチャ","300","2026年6月(6月29日週発売)","","https://www.takaratomy-arts.co.jp/items/item.html?n=Y907494","","2026-07-22"
"にっこりーノ おトイレのクリアポーチ","Qualia","","","","カプセルトイ","300","2026年1月","","https://www.qualia-45.jp/product/view/1855","","2026-07-22"
"サマーウォーズ めじるしアクセサリー","バンダイ","","","","ガシャポン","300","2026年5月","4582769860607000","https://gashapon.jp/products/detail.php?jan_code=4582769860607000","","2026-07-22"
"PEANUTS リラクシングバスタイム","タカラトミーアーツ","","","","ガチャ","400","2026年6月(6月15日週発売)","","https://www.takaratomy-arts.co.jp/items/item.html?n=Y903342","","2026-07-22"
"にっこりーノ ぱんのぬいぐるみ BABY","Qualia","","","","カプセルトイ","400","2026年1月","","https://www.qualia-45.jp/product/view/1853","","2026-07-22"
"ざわざわ森のがんこちゃん すいんぐこれくしょん","バンダイ","","","","ガシャポン","300","2026年5月","4582769876073000","https://gashapon.jp/products/detail.php?jan_code=4582769876073000","","2026-07-22"
"tomica PREMIUM BOX型シリコンポーチ1","タカラトミーアーツ","","","","ガチャ","400","2026年6月(6月15日週発売)","","https://www.takaratomy-arts.co.jp/items/item.html?n=Y906343","","2026-07-22"
"にっこりーノ 純喫茶のぬいぐるみ ひとやすみ","Qualia","","","","カプセルトイ","400","2026年1月","","https://www.qualia-45.jp/product/view/1854","","2026-07-22"
"ゼルダの伝説 ティアーズ オブ ザ キングダム ゾナウギアマグネット(リニューアル)","バンダイ","","","","ガシャポン","600","2026年5月","4582770027075000","https://gashapon.jp/products/detail.php?jan_code=4582770027075000","","2026-07-22"
"おさるのジョージ ジョージの一日フィギュア","タカラトミーアーツ","","","","ガチャ","400","2026年6月(6月22日週発売)","","https://www.takaratomy-arts.co.jp/items/item.html?n=Y901539","","2026-07-22"
"エアーダンシング ぬいぐるみ","Qualia","","","","カプセルトイ","400","2025年12月","","https://www.qualia-45.jp/product/view/1794","","2026-07-22"
"たまごっち UFOスイング","バンダイ","","","","ガシャポン","300","2026年5月","4582769898556000","https://gashapon.jp/products/detail.php?jan_code=4582769898556000","","2026-07-22"
"くまのプーさん コスチュームフィギュアマスコット","タカラトミーアーツ","","","","ガチャ","400","2026年6月(6月22日週発売)","","https://www.takaratomy-arts.co.jp/items/item.html?n=Y906961","","2026-07-22"
"ちゅーりっぷにとりついたおばけ マスコットフィギュア","Qualia","","","","カプセルトイ","300","2025年12月","","https://www.qualia-45.jp/product/view/1784","","2026-07-22"
"たまごっち ドットフィギュアチャーム","バンダイ","","","","ガシャポン","300","2026年5月","4582769832666000","https://gashapon.jp/products/detail.php?jan_code=4582769832666000","","2026-07-22"
"グレムリン Hide&Seek かくれんぼフィギュア","タカラトミーアーツ","","","","ガチャ","400","2026年6月(6月8日週発売)","","https://www.takaratomy-arts.co.jp/items/item.html?n=Y097041","","2026-07-22"
"ラブリーギャルズ マスコット","Qualia","","","","カプセルトイ","400","2025年12月","","https://www.qualia-45.jp/product/view/1788","","2026-07-22"
"たまごっち ぷくっとクリアリング","バンダイ","","","","ガシャポン","200","2026年5月","4582769889745000","https://gashapon.jp/products/detail.php?jan_code=4582769889745000","","2026-07-22"
"こむしちゃんのかんづめ! パート37","タカラトミーアーツ","","","","ガチャ","200","2026年6月(6月22日週発売)","","https://www.takaratomy-arts.co.jp/items/item.html?n=Y903953","","2026-07-22"
"アメリカンドッグ マスコットボールチェーン","Qualia","","","","カプセルトイ","400","2025年11月","","https://www.qualia-45.jp/product/view/1776","","2026-07-22"
"とっとこハム太郎 まちぼうけ","バンダイ","","","","ガシャポン","300","2026年5月","4570118209429000","https://gashapon.jp/products/detail.php?jan_code=4570118209429000","","2026-07-22"
"サンリオキャラクターズ おみみでぶらりんマスコット みみハートコレクション","タカラトミーアーツ","","","","ガチャ","300","2026年6月(6月22日週発売)","","https://www.takaratomy-arts.co.jp/items/item.html?n=Y903069","","2026-07-22"
"走るメンフクロウの赤ちゃん スタンドフィギュア","Qualia","","","","カプセルトイ","400","2025年11月","","https://www.qualia-45.jp/product/view/1775","","2026-07-22"
"ナイトメアー・ビフォア・クリスマス スイングマスコット","バンダイ","","","","ガシャポン","400","2026年5月","4582769832406000","https://gashapon.jp/products/detail.php?jan_code=4582769832406000","","2026-07-22"
"サンリオキャラクターズ ファッションリング オーロラコレクション","タカラトミーアーツ","","","","ガチャ","300","2026年6月(6月22日週発売)","","https://www.takaratomy-arts.co.jp/items/item.html?n=Y906664","","2026-07-22"
"豚勝拳 KUNG FU BOO カンフーブー スタンドフィギュア2","Qualia","","","","カプセルトイ","400","2025年11月","","https://www.qualia-45.jp/product/view/1769","","2026-07-22"
"はらぺこあおむし めじるしアクセサリー","バンダイ","","","","ガシャポン","300","2026年5月","4582769776236000","https://gashapon.jp/products/detail.php?jan_code=4582769776236000","","2026-07-22"
"サンリオキャラクターズ 星色天使チャーム キャンディピンクver.","タカラトミーアーツ","","","","ガチャ","300","2026年6月(6月22日週発売)","","https://www.takaratomy-arts.co.jp/items/item.html?n=Y907654","","2026-07-22"
"ペンギンおばけ ライトマスコットボールチェーン","Qualia","","","","カプセルトイ","400","2025年10月","","https://www.qualia-45.jp/product/view/1749","","2026-07-22"
"ひつじのショーン おすしのスイング","バンダイ","","","","ガシャポン","400","2026年5月","4582769829321000","https://gashapon.jp/products/detail.php?jan_code=4582769829321000","","2026-07-22"
"シュガーバターサンドの木 キーホルダー","タカラトミーアーツ","","","","ガチャ","300","2026年6月(6月15日週発売)","","https://www.takaratomy-arts.co.jp/items/item.html?n=Y901959","","2026-07-22"
"躍動感があるだけのプリン。 マスコットフィギュア2","Qualia","","","","カプセルトイ","400","2025年10月","","https://www.qualia-45.jp/product/view/1745","","2026-07-22"
"ぷよぷよ めじるしアクセサリー","バンダイ","","","","ガシャポン","300","2026年5月","4570118024275000","https://gashapon.jp/products/detail.php?jan_code=4570118024275000","","2026-07-22"
"スタジオUG にしむらゆうじ すってんころりんフィギュア","タカラトミーアーツ","","","","ガチャ","400","2026年6月(6月22日週発売)","","https://www.takaratomy-arts.co.jp/items/item.html?n=Y093326","","2026-07-22"
"ショックなパン ソフビマスコットフィギュア","Qualia","","","","カプセルトイ","300","2025年9月","","https://www.qualia-45.jp/product/view/1725","","2026-07-22"
"みいつけた! めじるしアクセサリー2","バンダイ","","","","ガシャポン","300","2026年5月","4582769889431000","https://gashapon.jp/products/detail.php?jan_code=4582769889431000","","2026-07-22"
"スパイダーマン ウェブアップ!!マスコット","タカラトミーアーツ","","","","ガチャ","400","2026年6月(6月22日週発売)","","https://www.takaratomy-arts.co.jp/items/item.html?n=Y900372","","2026-07-22"
"暴走スーツケース","Qualia","","","","カプセルトイ","400","2025年9月","","https://www.qualia-45.jp/product/view/1732","","2026-07-22"
"めじるしアクセサリー miffy 70th anniversary Ver","バンダイ","","","","ガシャポン","300","2026年5月","4582769876134000","https://gashapon.jp/products/detail.php?jan_code=4582769876134000","","2026-07-22"
"ディズニーキャラクター テトラポーチコレクション","タカラトミーアーツ","","","","ガチャ","400","2026年6月(6月29日週発売)","","https://www.takaratomy-arts.co.jp/items/item.html?n=Y902079","","2026-07-22"
"サンドイッチのベビーエイ マスコットボールチェーン","Qualia","","","","カプセルトイ","300","2025年8月","","https://www.qualia-45.jp/product/view/1704","","2026-07-22"
"劇場版『チェンソーマン レゼ篇』 つまんでつなげてマスコット1","バンダイ","","","","ガシャポン","400","2026年5月","4582769846700000","https://gashapon.jp/products/detail.php?jan_code=4582769846700000","","2026-07-22"
"ディズニーキャラクター ファッションリング Cutie Little Animals","タカラトミーアーツ","","","","ガチャ","300","2026年6月(6月29日週発売)","","https://www.takaratomy-arts.co.jp/items/item.html?n=Y903632","","2026-07-22"
