name,chain_name,prefecture,address,latitude,longitude,category,business_hours,official_url,source_checked_at
"Pon!近鉄百貨店草津店","Pon!","滋賀県","滋賀県草津市渋川1-1-50 近鉄百貨店草津店4F","35.0231210","135.9629520","ガチャ専門店","","https://www.gachagachanomori.com/shoplist/","2026-07-18"
"ガチャガチャの森 イオンモール久御山店","ガチャガチャの森","京都府","京都府久世郡久御山町森南大内156-1 イオンモール久御山1F","34.8935170","135.7458650","ガチャ専門店","","https://www.gachagachanomori.com/shoplist/","2026-07-18"
"ガチャガチャの森 天保山マーケットプレース店","ガチャガチャの森","大阪府","大阪府大阪市港区海岸通1-1-10 天保山マーケットプレース3F","34.6553420","135.4307400","ガチャ専門店","","https://www.gachagachanomori.com/shoplist/","2026-07-18"
"ガチャガチャの森 日本橋オタロード店","ガチャガチャの森","大阪府","大阪府大阪市浪速区日本橋3-7-22","34.6622120","135.5057220","ガチャ専門店","","https://www.gachagachanomori.com/shoplist/","2026-07-18"
"ガチャガチャの森 あべのHoop店","ガチャガチャの森","大阪府","大阪府大阪市阿倍野区阿倍野筋1-2-30 Hoop 4F","34.6454730","135.5137480","ガチャ専門店","","https://www.gachagachanomori.com/shoplist/","2026-07-18"
"ガチャガチャの森 イオンモール堺鉄砲町店","ガチャガチャの森","大阪府","大阪府堺市堺区鉄砲町1番地 イオンモール堺鉄砲町2F","34.5948560","135.4811250","ガチャ専門店","","https://www.gachagachanomori.com/shoplist/","2026-07-18"
"Pon!イオンモール堺鉄砲町店","Pon!","大阪府","大阪府堺市堺区鉄砲町1番地 イオンモール堺鉄砲町3F","34.5948560","135.4811250","ガチャ専門店","","https://www.gachagachanomori.com/shoplist/","2026-07-18"
"ガチャガチャの森 イオンモール堺北花田店","ガチャガチャの森","大阪府","大阪府堺市北区東浅香山町4丁目1-12 イオンモール堺北花田2F","34.5859150","135.5141750","ガチャ専門店","","https://www.gachagachanomori.com/shoplist/","2026-07-18"
"ガチャガチャの森 イオンモール茨木店","ガチャガチャの森","大阪府","大阪府茨木市松ケ本町8-30 イオンモール茨木2F","34.8113980","135.5578310","ガチャ専門店","","https://www.gachagachanomori.com/shoplist/","2026-07-18"
"ガチャガチャの森 リノアス八尾店","ガチャガチャの森","大阪府","大阪府八尾市光町2-60 LINOAS 5F","34.6297490","135.6053310","ガチャ専門店","","https://www.gachagachanomori.com/shoplist/","2026-07-18"
"ガチャガチャの森 イオンモール四條畷店","ガチャガチャの森","大阪府","大阪府四條畷市砂4丁目3番2号 イオンモール四條畷2F","34.7449380","135.6312260","ガチャ専門店","","https://www.gachagachanomori.com/shoplist/","2026-07-18"
"ガチャガチャの森 イオンモール神戸北店","ガチャガチャの森","兵庫県","兵庫県神戸市北区上津台8-1-1 イオンモール神戸北3F","34.8608590","135.1965180","ガチャ専門店","","https://www.gachagachanomori.com/shoplist/","2026-07-18"
"ガチャガチャの森 神戸学園店","ガチャガチャの森","兵庫県","兵庫県神戸市西区学園西町1-4 イオンフードスタイル神戸学園店2F","34.6831050","135.0572360","ガチャ専門店","","https://www.gachagachanomori.com/shoplist/","2026-07-18"
"ガチャガチャの森 姫路店","ガチャガチャの森","兵庫県","兵庫県姫路市東駅前町60番地 新井ビル1F","34.8287470","134.6930690","ガチャ専門店","","https://www.gachagachanomori.com/shoplist/","2026-07-18"
"Pon! アスピア明石店","Pon!","兵庫県","兵庫県明石市東仲ノ町6番1号 アスピア明石2F","34.6480900","134.9950710","ガチャ専門店","","https://www.gachagachanomori.com/shoplist/","2026-07-18"
"ガチャガチャの森 ららぽーと甲子園店","ガチャガチャの森","兵庫県","兵庫県西宮市甲子園八番町1-100 ららぽーと甲子園2F","34.7170680","135.3626100","ガチャ専門店","","https://www.gachagachanomori.com/shoplist/","2026-07-18"
"ガチャガチャの森 イオンモール伊丹店","ガチャガチャの森","兵庫県","兵庫県伊丹市藤ノ木1-1-1 イオンモール伊丹3F","34.7817690","135.4236910","ガチャ専門店","","https://www.gachagachanomori.com/shoplist/","2026-07-18"
"ガチャガチャの森 アステ川西店","ガチャガチャの森","兵庫県","兵庫県川西市栄町25-1 アステ川西1F","34.8264660","135.4131160","ガチャ専門店","","https://www.gachagachanomori.com/shoplist/","2026-07-18"
"ガチャガチャの森 イオンモール大和郡山店","ガチャガチャの森","奈良県","奈良県大和郡山市下三橋町741 イオンモール大和郡山3F","34.6508480","135.8021390","ガチャ専門店","","https://www.gachagachanomori.com/shoplist/","2026-07-18"
"Pon!ならまち店","Pon!","奈良県","奈良県奈良市光明院町14-2","34.6798130","135.8286130","ガチャ専門店","","https://www.gachagachanomori.com/shoplist/","2026-07-18"
"ガチャガチャの森 近鉄生駒店","ガチャガチャの森","奈良県","奈良県生駒市谷田町1600 近鉄百貨店生駒店5F","34.6938250","135.6984100","ガチャ専門店","","https://www.gachagachanomori.com/shoplist/","2026-07-18"
"ガチャガチャの森 イオンモール和歌山店","ガチャガチャの森","和歌山県","和歌山県和歌山市ふじと台23番 イオンモール和歌山3F","34.2770160","135.1495970","ガチャ専門店","","https://www.gachagachanomori.com/shoplist/","2026-07-18"
"Pon!イオンモール和歌山店","Pon!","和歌山県","和歌山県和歌山市ふじと台23番 イオンモール和歌山3F","34.2770160","135.1495970","ガチャ専門店","","https://www.gachagachanomori.com/shoplist/","2026-07-18"
"ガチャガチャの森 イオンモール広島祇園店","ガチャガチャの森","広島県","広島県広島市安佐南区祇園3丁目2-1 イオンモール広島祇園3F","34.4437830","132.4615780","ガチャ専門店","","https://www.gachagachanomori.com/shoplist/","2026-07-18"
"ガチャガチャの森 THE OUTLETS HIROSHIMA店","ガチャガチャの森","広島県","広島県広島市佐伯区石内東4丁目1番1号 THE OUTLETS HIROSHIMA 1F","34.4100950","132.3976290","ガチャ専門店","","https://www.gachagachanomori.com/shoplist/","2026-07-18"
"ガチャガチャの森 ゆめタウン廿日市店","ガチャガチャの森","広島県","広島県廿日市市下平良2丁目2-1 ゆめタウン廿日市2F","34.3457570","132.3356170","ガチャ専門店","","https://www.gachagachanomori.com/shoplist/","2026-07-18"
"ガチャガチャの森 イオンモール広島府中店","ガチャガチャの森","広島県","広島県安芸郡府中町大須2-1-1 イオンモール広島府中3F","34.3945660","132.4995270","ガチャ専門店","","https://www.gachagachanomori.com/shoplist/","2026-07-18"
"ガチャガチャの森 イオンモール岡山店","ガチャガチャの森","岡山県","岡山県岡山市北区下石井1丁目2番1号 イオンモール岡山5F","34.6627120","133.9189000","ガチャ専門店","","https://www.gachagachanomori.com/shoplist/","2026-07-18"
"Pon! TSUTAYA十日市店","Pon!","岡山県","岡山県岡山市北区岡南町2丁目299-1","34.6420210","133.9262390","ガチャ専門店","","https://www.gachagachanomori.com/shoplist/","2026-07-18"
"ガチャガチャの森 TSUTAYA山陽店","ガチャガチャの森","岡山県","岡山県赤磐市下市413-1","34.7513500","134.0202640","ガチャ専門店","","https://www.gachagachanomori.com/shoplist/","2026-07-18"
"ガチャガチャの森 TSUTAYA東福原店","ガチャガチャの森","鳥取県","鳥取県米子市東福原6丁目12番40 TSUTAYA東福原店2F","35.4458850","133.3502660","ガチャ専門店","","https://www.gachagachanomori.com/shoplist/","2026-07-18"
"ガチャガチャの森 イオンモール徳島店","ガチャガチャの森","徳島県","徳島県徳島市南末広町4番1号 イオンモール徳島4F","34.0630490","134.5731350","ガチャ専門店","","https://www.gachagachanomori.com/shoplist/","2026-07-18"
"ガチャガチャの森 丸亀町グリーン店","ガチャガチャの森","香川県","香川県高松市丸亀町7番地16 丸亀町グリーン西館2F","34.3421820","134.0495910","ガチャ専門店","","https://www.gachagachanomori.com/shoplist/","2026-07-18"
"ガチャガチャの森 イオンモール今治新都市店","ガチャガチャの森","愛媛県","愛媛県今治市にぎわい広場1番地1 イオンモール今治新都市2F","34.0442540","132.9624630","ガチャ専門店","","https://www.gachagachanomori.com/shoplist/","2026-07-18"
"ガチャガチャの森 イオンモール高知店","ガチャガチャの森","高知県","高知県高知市秦南町1丁目4-8 イオンモール高知2F","33.5753480","133.5414730","ガチャ専門店","","https://www.gachagachanomori.com/shoplist/","2026-07-18"
"ガチャガチャの森 小倉魚町店","ガチャガチャの森","福岡県","福岡県北九州市小倉北区魚町1丁目4番5号 魚町戸田ビル","33.8847390","130.8801730","ガチャ専門店","","https://www.gachagachanomori.com/shoplist/","2026-07-18"
"ガチャガチャの森 サンリブシティ小倉店","ガチャガチャの森","福岡県","福岡県北九州市小倉南区上葛原2-14-1 サンリブシティ小倉2F","33.8398630","130.9078830","ガチャ専門店","","https://www.gachagachanomori.com/shoplist/","2026-07-18"
"ガチャガチャの森 イオンモール八幡東店","ガチャガチャの森","福岡県","福岡県北九州市八幡東区東田3丁目2-102 イオンモール八幡東3F","33.8702620","130.8114010","ガチャ専門店","","https://www.gachagachanomori.com/shoplist/","2026-07-18"
"ガチャガチャの森 THE OUTLETS KITAKYUSHU店","ガチャガチャの森","福岡県","福岡県北九州市八幡東区東田4丁目1-1 THE OUTLETS KITAKYUSHU 2F","33.8740230","130.8106540","ガチャ専門店","","https://www.gachagachanomori.com/shoplist/","2026-07-18"
"ガチャガチャの森 サンリブ折尾","ガチャガチャの森","福岡県","福岡県北九州市八幡西区大浦3-1-1 サンリブ折尾1F","33.8690220","130.7114870","ガチャ専門店","","https://www.gachagachanomori.com/shoplist/","2026-07-18"
"ガチャガチャの森 ブランチ博多 パピヨンガーデン店","ガチャガチャの森","福岡県","福岡県福岡市博多区千代一丁目2-1","33.6003990","130.4195400","ガチャ専門店","","https://www.gachagachanomori.com/shoplist/","2026-07-18"
"ガチャガチャの森 ららぽーと福岡店","ガチャガチャの森","福岡県","福岡県福岡市博多区那珂6丁目23-1 三井ショッピングパークららぽーと福岡3F","33.5649760","130.4386900","ガチャ専門店","","https://www.gachagachanomori.com/shoplist/","2026-07-18"
"Pon!ららぽーと福岡店","Pon!","福岡県","福岡県福岡市博多区那珂6丁目23-1 三井ショッピングパークららぽーと福岡1F","33.5649760","130.4386900","ガチャ専門店","","https://www.gachagachanomori.com/shoplist/","2026-07-18"
"ガチャガチャの森 天神西通り店","ガチャガチャの森","福岡県","福岡県福岡市中央区天神2丁目7-14 いちご天神シティビル1F","33.5899120","130.3960570","ガチャ専門店","","https://www.gachagachanomori.com/shoplist/","2026-07-18"
"ガチャガチャの森 西新店","ガチャガチャの森","福岡県","福岡県福岡市早良区西新4丁目 9番16号","33.5828290","130.3589170","ガチャ専門店","","https://www.gachagachanomori.com/shoplist/","2026-07-18"
"ガチャガチャの森 イオンモール大牟田店","ガチャガチャの森","福岡県","福岡県大牟田市岬町3番4 イオンモール大牟田2F","33.0304720","130.4277650","ガチャ専門店","","https://www.gachagachanomori.com/shoplist/","2026-07-18"
"ガチャガチャの森 イオンモール直方店","ガチャガチャの森","福岡県","福岡県直方市湯野原2丁目1-1 イオンモール直方2F","33.7689400","130.7495120","ガチャ専門店","","https://www.gachagachanomori.com/shoplist/","2026-07-18"
"Pon! サンリブくりえいと宗像店","Pon!","福岡県","福岡県宗像市くりえいと1-5-1 サンリブくりえいと宗像2F","33.8116870","130.5641940","ガチャ専門店","","https://www.gachagachanomori.com/shoplist/","2026-07-18"
"ガチャガチャの森 太宰府参道店","ガチャガチャの森","福岡県","福岡県太宰府市宰府3丁目1-19","33.5197410","130.5323180","ガチャ専門店","","https://www.gachagachanomori.com/shoplist/","2026-07-18"
"ガチャガチャの森 イオンモール福津店","ガチャガチャの森","福岡県","福岡県福津市日蒔野6丁目16番地の1 イオンモール福津3F","33.7530250","130.4928280","ガチャ専門店","","https://www.gachagachanomori.com/shoplist/","2026-07-18"
"ガチャガチャの森 トリアス店","ガチャガチャの森","福岡県","福岡県糟屋郡久山町大字山田1111トリアスモール","33.6530150","130.4893490","ガチャ専門店","","https://www.gachagachanomori.com/shoplist/","2026-07-18"
"ガチャガチャの森 イオンモール福岡店","ガチャガチャの森","福岡県","福岡県糟屋郡粕屋町大字酒殿字老ノ木192-1 イオンモール福岡2F","33.5964550","130.4802860","ガチャ専門店","","https://www.gachagachanomori.com/shoplist/","2026-07-18"
"ガチャガチャの森 TSUTAYA伊万里店","ガチャガチャの森","佐賀県","佐賀県伊万里市二里町八谷搦1274","33.2767720","129.8676610","ガチャ専門店","","https://www.gachagachanomori.com/shoplist/","2026-07-18"
"ガチャガチャの森 みらい長崎ココウォーク店","ガチャガチャの森","長崎県","長崎県長崎市茂里町1番55号 みらい長崎ココウォーク3F","32.7629810","129.8647770","ガチャ専門店","","https://www.gachagachanomori.com/shoplist/","2026-07-18"
"ガチャガチャの森 TSUTAYAさせぼ五番街店","ガチャガチャの森","長崎県","長崎県佐世保市新港町3番1号 TSUTAYAさせぼ五番街店内","33.1648670","129.7239230","ガチャ専門店","","https://www.gachagachanomori.com/shoplist/","2026-07-18"
"ガチャガチャの森 TSUTAYA広田店","ガチャガチャの森","長崎県","長崎県佐世保市広田四丁目4番9号","33.1230550","129.7966310","ガチャ専門店","","https://www.gachagachanomori.com/shoplist/","2026-07-18"
"ガチャガチャの森 TSUTAYA島原店","ガチャガチャの森","長崎県","長崎県島原市城内3丁目1600-1","32.7989880","130.3628230","ガチャ専門店","","https://www.gachagachanomori.com/shoplist/","2026-07-18"
